カテゴリ,優先度,企業名,業態/分類,所在,合致ポイント（なぜ刺さるか）,接点・ステータス,URL
①非デジタル代理店,◎,京王エージェンシー,京王電鉄インハウス代理店・交通広告,東京,インハウス×交通広告の典型。デジタル運用は外部依存,商談済・好感触（議事録6/17）,keio-ag.co.jp
①非デジタル代理店,◎,十二社,折込中心クロスメディア/40年超OOH・折込,東京(西新宿),昔ながらのオフライン系・pDOOH提案増・ASE掲載済,7/7往訪済・お試し検討中,juniso.co.jp
①非デジタル代理店,◎,CDG,ノベルティ・販促制作大手（近年デジタル増加）,東京,非デジタル出自で近年デジタル拡大中。OEM相性◎,商談済・好感触（7/7 w/tomoさん）,cdg.co.jp
①非デジタル代理店,○,一広（一広ラテラル）,愛媛の総合広告グループ（求人・SNS運用支援含む）,愛媛,OEM取引主体・コンペ進行中。HI側も既存パートナー,Slack直近5/27・進行中,ikko.co.jp
①非デジタル代理店,○,ながのアドビューロ,長野県総合広告（信毎・電通等出資）マス＋SP,長野,地場総合代理店のデジタル補完ニーズ。SIM稼働中,Slack直近5/19,adbureau.co.jp
①非デジタル代理店,○,リックコミュニケーションズ,商業施設(SC)販促企画特化,大阪/東京/福岡,SCオープン・リニューアル販促。SNS広告は拡大余地,Slack直近4/16,ricc.co.jp
①非デジタル代理店,○,MRTアド,宮崎放送グループ総合代理店,宮崎,ローカル局系のデジタル補完。TVer案件配信中,Slack直近4/10,mrtad.jp
①非デジタル代理店,○,キョウエイアドインターナショナル,交通・屋外OOH大手,東京,交通・OOHの典型。認知系出稿のデジタル補完余地,HI既存パートナー,
①非デジタル代理店,○,読売エージェンシー,読売新聞G総合広告（新聞・マス＋デジタル）,東京,マス中心のデジタル補完。対象法人要確認,Slack直近2/26,yomiuri-ag.co.jp
①非デジタル代理店,○,サンケイアイ,産経新聞G・折込×デジタル・地域特化,東京,子会社SEデジタルと商談進行中→親会社側へ展開,Slack直近2/12・判断待ち,sankei-eye.co.jp
①非デジタル代理店,△,電通プロモーション（旧電通tempo）,電通G統合プロモ（流通小売・店舗販促・折込）,東京,販促・折込に強い。統合後の窓口要確認,参加ログのみ,dentsupromotion.co.jp
①非デジタル代理店,△,エイジェックADプロモーション,人材グループの広告子会社,東京,新興広告子会社。実は稼働（休眠判定ズレ事例）,Slack直近2/19,agekke.co.jp
①非デジタル代理店,△,エンジン,業種要確認（アクティブ先）,要確認,チャットワーク併用で案件進行中。業種当日確認,Slack直近6/16,要確認
①非デジタル代理店,△,日本広告社,読売埼玉専属代理店,埼玉,新聞専属のマス代理店。デジタル補完余地,HI既存パートナー,
①非デジタル代理店,△,企画通信社,マス＋デジタル併営,,マス出自で併営。運用余地の一次確認要,HI既存パートナー,
②プレミアム媒体社,◎,講談社,総合出版,東京,HAWK導入済・運用中。実証例の元,導入済（6/11連携完了）,kodansha.co.jp
②プレミアム媒体社,◎,朝日新聞社,全国紙,東京,講談社型の本命筋。先週案内で好感触,先週案内・好感触,asahi.com
②プレミアム媒体社,○,集英社,総合出版,東京,出版アングルで開始。完全外注リプレイスは時間要,開始・進行中,shueisha.co.jp
②プレミアム媒体社,○,西日本新聞メディアラボ,新聞社系デジタル子会社（広告代理業あり）,福岡,新聞社系メディアの収益化・講談社型本命,Tomoさん4月入室済→温度感確認可,medialab.co.jp
②プレミアム媒体社,○,日テレWands,日本テレビG デジタル会社（TVer/SNS運用）,東京,媒体グループの広告実行部隊。運用自動化ニーズ,SIM運用中・Slack直近4/7,ntv-wands.co.jp
②プレミアム媒体社,○,小学館,総合出版,東京,出版アングル横展開。往訪候補,HI既存パートナー・往訪検討,shogakukan.co.jp
②プレミアム媒体社,○,プレジデント社,ビジネス誌,東京,誌面×SNS認知の抱き合わせ余地,往訪予定だった先,president.co.jp
②プレミアム媒体社,○,メディアジーン,Web系出版（GIZMODO/lifehacker等）,東京,Webメディアの広告在庫補填。デジタル親和,オンライン往訪予定,mediagene.co.jp
②プレミアム媒体社,○,Avex（エイベックス）,レコード/芸能/IP,東京,IP認知系出稿の横展開ハブ,商談中,avex.com
②プレミアム媒体社,△,onecompath,凸版系メディア（Shufoo!/Mapion）,東京,チラシのデジタル版＝小売クライアント多数,Slack直近6/17,onecompath.com
②プレミアム媒体社,△,東洋経済新報社,経済メディア,東京,HI既存パートナー・開拓余地,未アプローチ,str.toyokeizai.net
②プレミアム媒体社,△,ダイヤモンド社,経済メディア,東京,HI既存パートナー・開拓余地,未アプローチ,diamond.co.jp
②プレミアム媒体社,△,文藝春秋,総合出版,東京,HI既存パートナー・開拓余地,未アプローチ,bunshun.co.jp
②プレミアム媒体社,△,光文社,総合出版（女性誌・週刊誌）,東京,HI既存パートナー・開拓余地,未アプローチ,kobunsha.com
②プレミアム媒体社,△,マガジンハウス,雑誌（Tarzan等）,東京,Tarzan掲載実績→他誌拡張要望,HI開拓要望,magazineworld.jp
②プレミアム媒体社,△,日経BP,ビジネス誌・専門メディア,東京,HI社内で開拓要望,未アプローチ,
②プレミアム媒体社,△,コンデナスト・ジャパン,VOGUE/GQ等,東京,高感度媒体・認知系。HI開拓要望,未アプローチ,
②プレミアム媒体社,△,毎日新聞社,全国紙,東京,講談社型・全国紙筋,HI既存パートナー,mainichi.jp
②プレミアム媒体社,△,北海道新聞社,地方紙,北海道,地方紙のデジタル収益化,HI既存パートナー,
②プレミアム媒体社,△,中日新聞社,地方紙,愛知,地方紙のデジタル収益化,HI既存パートナー,
②プレミアム媒体社,△,J-WAVE,ラジオ局,東京,放送系の広告実行・SNS補完,HI既存パートナー,
②プレミアム媒体社,△,朝日放送テレビ,関西キー局,大阪,放送系の広告実行・SNS補完,HI既存パートナー,
②プレミアム媒体社,△,フジテレビジョン,キー局,東京,放送系の広告実行・SNS補完,HI既存パートナー,
②プレミアム媒体社,△,TBSテレビ,キー局,東京,放送系の広告実行・SNS補完,HI既存パートナー,
②プレミアム媒体社,△,テレビ東京コミュニケーションズ,テレ東グループ,東京,放送系の広告実行・SNS補完,HI既存パートナー,
③制作/PR会社（紹介元）,○,リソースクリエイション,制作／マーケ支援,,直近HAWKご説明の接点あり,商談接点あり,要確認
③制作/PR会社（紹介元）,△,アライブ,Web制作・LP・EC（約100名体制）,名古屋,規模大・運用前提の体制,紹介元プール,alive-web.co.jp
③制作/PR会社（紹介元）,△,GrowGroup,マーケ／広告運用（累計1200社超）,名古屋,広告運用機能あり,紹介元プール,grow-group.jp
③制作/PR会社（紹介元）,△,ラナデザインアソシエイツ,ブランディング／広告,東京,広告領域を持つ制作,紹介元プール,ranadesign.com
③制作/PR会社（紹介元）,△,ジェー・ピー・シー（JPC）,広告／Web／映像制作,東京,広告〜映像を総合,紹介元プール,jpc-ltd.co.jp
③制作/PR会社（紹介元）,△,ティ・エー・シー企画,広告制作／販促／映像,東京,販促・広告出自,紹介元プール,tac.co.jp
③制作/PR会社（紹介元）,△,シンタックス,映像制作／PR／マーケ,東京,PR機能あり,紹介元プール,thintax.co.jp
③制作/PR会社（紹介元）,△,ユニオンネット,Web戦略（45名・集客/採用/EC）,大阪,規模・総合支援,紹介元プール,unionnet.jp
