# 除外リスト（顧客マスタ）には無いが、取込んではいけないと判明した社名。
# 社名 <TAB> 理由。sync_new_rows.py が毎回読んで、この社名は追記しない。
# 顧客マスタ側を書き換えたくないので、こちら側で持つ。気づいたら追記すること。
#
# --- 同一法人（社名変更・別表記） ---
クラシル株式会社	dely株式会社が2025-10-01にクラシル株式会社へ社名変更（同一法人）
LINEヤフー株式会社	除外リストのヤフー株式会社が2023年にLINEヤフーへ統合（同一法人）
トランス・コスモス株式会社～プライム市場上場企業～	トランスコスモス株式会社（中黒と装飾付きの表記）
株式会社ウィルオブ・ワーク（ウィルグループ）	株式会社ウィルオブ・ワーク（括弧内はグループ名）
株式会社マイベスト／mybest, Inc.	株式会社マイベスト（英語表記の併記）
株式会社Leo Sophia Group	株式会社LeoSophia
#
# --- 親会社・子会社・グループ会社 ---
株式会社CARTA HOLDINGS	株式会社CARTA ZERO の親会社
株式会社CARTAHOLDINGS	株式会社CARTA ZERO の親会社
株式会社D2C R	株式会社D2C の子会社
株式会社DYM NEXT	株式会社DYM の子会社
パナソニック エナジー株式会社	パナソニックグループ（パナソニック株式会社・パナソニック コネクト株式会社が除外）
パナソニック エナジー	パナソニックグループ
株式会社電通PRコンサルティング	電通グループ（株式会社電通が除外）
株式会社博報堂マーケティングシステムズ	博報堂グループ（株式会社博報堂が除外）
株式会社サムライ・アドウェイズ	株式会社アドウェイズ の子会社
株式会社集英社アーツ&デジタル	株式会社集英社 の子会社
エムスリーキャリア株式会社	エムスリー株式会社 の子会社
楽天カード株式会社	楽天グループ株式会社 の子会社
株式会社リクルートR&Dスタッフィング	株式会社リクルート の関連会社
ニフティライフスタイル株式会社	ニフティ株式会社 の関連会社
第一三共ヘルスケアダイレクト株式会社	第一三共ヘルスケア株式会社 の子会社
インキュデータ株式会社	ソフトバンク×博報堂×トレジャーデータのJV（3社とも除外）
デジマールリンクス株式会社	デジマール株式会社 の関連会社
福岡ソフトバンクホークス株式会社	ソフトバンクグループ（ソフトバンク株式会社が除外）
ソニー損害保険株式会社	ソニーグループ（ソニー株式会社が除外）
グリーグループ メタバース事業	グリー株式会社 のグループ
山田養蜂場&ソフィアシステムズ株式会社	株式会社山田養蜂場 の関連（社名に併記）
アノマリーマーケティング株式会社	株式会社アノマリー の関連会社
NTT東日本株式会社	NTTグループ（株式会社NTTドコモが除外）
GMOコマース株式会社	GMOグループ（GMO TECH・GMOメイクショップが除外）
#
# --- 別法人かもしれないが、当たると危ないので落とすと決めたもの（2026-08-24） ---
株式会社メディカルハンズ	株式会社ハンズ と同一・系列の可能性
株式会社ラクス	ラクスル株式会社 と同一・系列の可能性
インタラクティブ株式会社	jekiインタラクティブ・コミュニケーションズ と同一・系列の可能性
株式会社エッセンスクライアント	エッセンス株式会社 と同一・系列の可能性
株式会社フロンティアダイレクト	株式会社フロンティア と同一・系列の可能性
